Project Description,Location,Contractor,Cost,Completion Date,,Description,Start_Date,Contractor,Contract_Cost,Location,Region,Category,FY
"Construction of Flood Control Project along Ilagan River (Sta. 0+000 - Sta. 0+950), Brgy. Malalam, City of Ilagan, Isabela",ISABELA,DRAGON TWELVE BUILDERS & CONSTRUCTION SUPPLY,"48,780,682.50",11/21/2022,REPORT,"Construction of Flood Control Project along Ilagan River (Sta. 0+000 - Sta. 0+950), Brgy. Malalam, City of Ilagan, Isabela",04/07/2022,"CONTRACTOR:
DRAGON TWELVE BUILDERS & CONSTRUCTION SUPPLY","CONTRACT COST: 48,780,682.50","ISABELA (17.147800 , 121.893200)",Region II,Construction of Flood Mitigation Structure,FY 2022
"Rehabilitation of San Juan River, Phase I, Quezon City",QUEZON CITY,M.S. RAMOS CONSTRUCTION INC. (FORMERLY: M.S. RAMOS,"43,077,774.26",11/21/2022,REPORT,"Rehabilitation of San Juan River, Phase I, Quezon City",03/23/2022,"CONTRACTOR:
M.S. RAMOS CONSTRUCTION INC. (FORMERLY: M.S. RAMOS","CONTRACT COST: 43,077,774.26","QUEZON CITY (14.618490 , 121.019305)",National Capital Region,Rehabilitation / Major Repair of Flood Control Structure,FY 2022
"Construction of Slope Protection Structure in Marikina River, Sta. 20+150 to Sta. 20+400, Brgy. Batasan Hills, Quezon City",QUEZON CITY,"A.L. SALAZAR CONSTRUCTION, INC.","42,330,218.21",11/21/2022,REPORT,"Construction of Slope Protection Structure in Marikina River, Sta. 20+150 to Sta. 20+400, Brgy. Batasan Hills, Quezon City",02/10/2022,"CONTRACTOR:
A.L. SALAZAR CONSTRUCTION, INC.","CONTRACT COST: 42,330,218.21","QUEZON CITY (14.692310 , 121.109600)",National Capital Region,Construction of Slope Protection Structure,FY 2022
"Construction of Flood Control Structure and Tributaries along San Francisco River (Phase II), Quezon City",QUEZON CITY,VICTORIA DEVELOPMENT AND VENTURES CORP. (FOR: VICTORIA DEV'T AND CONST. CORP.),"48,019,939.82",11/21/2022,REPORT,"Construction of Flood Control Structure and Tributaries along San Francisco River (Phase II), Quezon City",02/07/2022,"CONTRACTOR:
VICTORIA DEVELOPMENT AND VENTURES CORP. (FOR: VICTORIA DEV'T AND CONST. CORP.)","CONTRACT COST: 48,019,939.82","QUEZON CITY (14.653271 , 121.016582)",National Capital Region,Construction of Flood Mitigation Structure,FY 2022
"Construction of Flood Control Structure at Sitio Sokong, Kabayan, Benguet",BENGUET,AROBOAN CONSTRUCTION AND SUPPLY,"9,679,857.68",11/21/2022,REPORT,"Construction of Flood Control Structure at Sitio Sokong, Kabayan, Benguet",07/19/2022,"CONTRACTOR:
AROBOAN CONSTRUCTION AND SUPPLY","CONTRACT COST: 9,679,857.68","BENGUET (16.594848 , 120.845282)",Cordillera Administrative Region,Construction of Flood Mitigation Structure,FY 2022
"Construction of Wayangan Flood Control, Tubo, Abra",ABRA,739 BUILDERS,"96,496,961.02",11/21/2022,REPORT,"Construction of Wayangan Flood Control, Tubo, Abra",12/28/2021,"CONTRACTOR:
739 BUILDERS","CONTRACT COST: 96,496,961.02","ABRA (17.455780 , 120.766942)",Cordillera Administrative Region,Construction of Flood Mitigation Structure,FY 2021
"Construction of Slope Protection along Padre Burgos, Southern Leyte",SOUTHERN LEYTE,"S-ANG CONSTRUCTION & GENERAL TRADING, INC. / MORTAR MASTERS & CONCRETE BUILDERS","96,500,000.00",11/20/2022,REPORT,"Construction of Slope Protection along Padre Burgos, Southern Leyte",11/22/2021,"CONTRACTOR:
S-ANG CONSTRUCTION & GENERAL TRADING, INC. / MORTAR MASTERS & CONCRETE BUILDERS","CONTRACT COST: 96,500,000.00","SOUTHERN LEYTE (10.055536 , 125.023401)",Region VIII,Construction of Slope Protection Structure,FY 2021
"Construction of Riverwall, Barangay Camanga, Siay, Zamboanga Sibugay",ZAMBOANGA SIBUGAY,LONG ISLAND BUILDERS & CONSTRUCTION,"38,699,939.44",11/20/2022,REPORT,"Construction of Riverwall, Barangay Camanga, Siay, Zamboanga Sibugay",02/07/2022,"CONTRACTOR:
LONG ISLAND BUILDERS & CONSTRUCTION","CONTRACT COST: 38,699,939.44","ZAMBOANGA SIBUGAY (7.761117 , 122.921442)",Region IX,Construction of Flood Mitigation Structure,FY 2022
"Construction of Buenavista Seawall, Buenavista, Marinduque",MARINDUQUE,JEFF ENTERPRISES,"14,698,930.12",11/20/2022,REPORT,"Construction of Buenavista Seawall, Buenavista, Marinduque",03/30/2022,"CONTRACTOR:
JEFF ENTERPRISES","CONTRACT COST: 14,698,930.12","MARINDUQUE (13.252000 , 121.945000)",Region IV-B,Construction of Flood Mitigation Structure,FY 2022
"Construction of Tarlac City Urban Drainage System (Phase 4), Tarlac City, Tarlac",TARLAC,NORTHERN BUILDERS,"94,570,289.88",11/20/2022,REPORT,"Construction of Tarlac City Urban Drainage System (Phase 4), Tarlac City, Tarlac",03/10/2022,"CONTRACTOR:
NORTHERN BUILDERS","CONTRACT COST: 94,570,289.88","TARLAC (15.486017 , 120.596083)",Region III,Construction of Drainage Structure,FY 2022
"Construction of Flood Control Structures along Balagtas River, K0008 + 176.20 - K0008 + 431.80, Balagtas, Bulacan",BULACAN,TOPNOTCH CATALYST BUILDERS INC. / BLACK HARDHAT INC. (FORMERLY: JCHARDHAT INC.),"37,239,159.73",11/20/2022,REPORT,"Construction of Flood Control Structures along Balagtas River, K0008 + 176.20 - K0008 + 431.80, Balagtas, Bulacan",02/24/2022,"CONTRACTOR:
TOPNOTCH CATALYST BUILDERS INC. / BLACK HARDHAT INC. (FORMERLY: JCHARDHAT INC.)","CONTRACT COST: 37,239,159.73","BULACAN (14.808440 , 120.897458)",Region III,Construction of Flood Mitigation Structure,FY 2022
"Improvement of Waterways with Flood Control Structures along Balagtas River, Sta. 0 + 000 to Sta. 0 + 540, Wawa, Balagtas, Bulacan",BULACAN,"L.R. TIQUI BUILDERS, INC.","62,724,996.89",11/20/2022,REPORT,"Improvement of Waterways with Flood Control Structures along Balagtas River, Sta. 0 + 000 to Sta. 0 + 540, Wawa, Balagtas, Bulacan",02/24/2022,"CONTRACTOR:
L.R. TIQUI BUILDERS, INC.","CONTRACT COST: 62,724,996.89","BULACAN (14.812520 , 120.908938)",Region III,Construction of Flood Mitigation Structure,FY 2022
"Rehabilitation of Flood Control/Drainage Structure along Matuno River, San Leonardo Section, Bambang, Nueva Vizcaya",NUEVA VIZCAYA,J.E.L. CONSTRUCTION & SUPPLY,"24,500,000.00",11/20/2022,REPORT,"Rehabilitation of Flood Control/Drainage Structure along Matuno River, San Leonardo Section, Bambang, Nueva Vizcaya",02/10/2022,"CONTRACTOR:
J.E.L. CONSTRUCTION & SUPPLY","CONTRACT COST: 24,500,000.00","NUEVA VIZCAYA (16.395591 , 121.081345)",Region II,Rehabilitation / Major Repair of Flood Control Structure,FY 2022
"Repair/Rehabilitation/Improvement of Flood Control and Drainage Structure Along Magat River, Bangar Section 1, Brgy. Bangar, Solano, Nueva Vizcaya",NUEVA VIZCAYA,SHANLEY CONSTRUCTION,"29,700,000.00",11/20/2022,REPORT,"Repair/Rehabilitation/Improvement of Flood Control and Drainage Structure Along Magat River, Bangar Section 1, Brgy. Bangar, Solano, Nueva Vizcaya",01/12/2022,"CONTRACTOR:
SHANLEY CONSTRUCTION","CONTRACT COST: 29,700,000.00","NUEVA VIZCAYA (16.536400 , 121.238510)",Region II,Rehabilitation / Major Repair of Flood Control Structure,FY 2021
"Construction of Jubas Flood Control, Libagon, Southern Leyte",SOUTHERN LEYTE,JQD CONSTRUCTION & GENERAL SERVICES,"19,568,359.50",11/19/2022,REPORT,"Construction of Jubas Flood Control, Libagon, Southern Leyte",02/10/2022,"CONTRACTOR:
JQD CONSTRUCTION & GENERAL SERVICES","CONTRACT COST: 19,568,359.50","SOUTHERN LEYTE (10.363134 , 125.170670)",Region VIII,Construction of Flood Mitigation Structure,FY 2022
"Construction of Riverbank Protection along Manapot River, Tawog, Caramoan, Camarines Sur",CAMARINES SUR,IA FERRER CONSTRUCTION & SUPPLY,"29,400,000.00",11/19/2022,REPORT,"Construction of Riverbank Protection along Manapot River, Tawog, Caramoan, Camarines Sur",03/10/2022,"CONTRACTOR:
IA FERRER CONSTRUCTION & SUPPLY","CONTRACT COST: 29,400,000.00","CAMARINES SUR (13.768269 , 123.863904)",Region V,Construction of Slope Protection Structure,FY 2022
"Construction of Revetment along Julian River, Brgy. Malagasang I-E, West Side, Imus, Cavite",CAVITE,C.S. RAMOS CONSTRUCTION / ALMAKAR BUILDERS & METAL WORKS,"89,745,000.00",11/19/2022,REPORT,"Construction of Revetment along Julian River, Brgy. Malagasang I-E, West Side, Imus, Cavite",02/28/2022,"CONTRACTOR:
C.S. RAMOS CONSTRUCTION / ALMAKAR BUILDERS & METAL WORKS","CONTRACT COST: 89,745,000.00","CAVITE (14.382920 , 120.930000)",Region IV-A,Construction of Revetment,FY 2022
"Improvement of Sto Niño Creek, Pasay City",PASAY CITY,E.R. RODRIGUEZ CONSTRUCTION CORPORATION (FORMERLY: E.R. RODRIGUEZ CONSTRUCTION),"28,939,547.94",11/19/2022,REPORT,"Improvement of Sto Niño Creek, Pasay City",08/31/2021,"CONTRACTOR:
E.R. RODRIGUEZ CONSTRUCTION CORPORATION (FORMERLY: E.R. RODRIGUEZ CONSTRUCTION)","CONTRACT COST: 28,939,547.94","PASAY CITY (14.537317 , 121.000755)",National Capital Region,Rehabilitation / Major Repair of Flood Control Structure,FY 2021
"Construction of Drainage System at Purok 1, Barangay Baliok, Talomo District, Davao City",DAVAO DEL SUR,"AGONG BUILDERS AND CONSTRUCTION SUPPLY, INC.","9,800,000.00",11/18/2022,REPORT,"Construction of Drainage System at Purok 1, Barangay Baliok, Talomo District, Davao City",06/06/2022,"CONTRACTOR:
AGONG BUILDERS AND CONSTRUCTION SUPPLY, INC.","CONTRACT COST: 9,800,000.00","DAVAO DEL SUR (7.042688 , 125.501238)",Region XI,Construction of Drainage Structure,FY 2022
"Construction of Revetment along Manat River leading to Agusan River at Inambatan Bridge (Downstream), Brgy. Olaycon, Monkayo, Davao de Oro",DAVAO DE ORO,RELY CONSTRUCTION & SUPPLY INC.(FORMERLY: RELY CONSTRUCTION AND SUPPLY),"67,549,964.47",11/18/2022,REPORT,"Construction of Revetment along Manat River leading to Agusan River at Inambatan Bridge (Downstream), Brgy. Olaycon, Monkayo, Davao de Oro",02/23/2022,"CONTRACTOR:
RELY CONSTRUCTION & SUPPLY INC.(FORMERLY: RELY CONSTRUCTION AND SUPPLY)","CONTRACT COST: 67,549,964.47","DAVAO DE ORO (7.797090 , 126.037198)",Region XI,Construction of Revetment,FY 2022
"Construction (Extension) of Catarman Flood Control Structures (Catarman River Basin), Brgy. Sampaguita, Jose Abad Santos, Baybay, Catarman, Northern Samar",NORTHERN SAMAR,SAL CONSTRUCTION / CDU CONSTRUCTION,"42,254,877.86",11/18/2022,REPORT,"Construction (Extension) of Catarman Flood Control Structures (Catarman River Basin), Brgy. Sampaguita, Jose Abad Santos, Baybay, Catarman, Northern Samar",02/21/2022,"CONTRACTOR:
SAL CONSTRUCTION / CDU CONSTRUCTION","CONTRACT COST: 42,254,877.86","NORTHERN SAMAR (12.507134 , 124.643528)",Region VIII,Construction of Flood Mitigation Structure,FY 2022
"Construction of Putiao River Control, Pilar Sorsogon",SORSOGON,CENTERWAYS CONSTRUCTION AND DEVELOPMENT INC.,"47,304,633.91",11/18/2022,REPORT,"Construction of Putiao River Control, Pilar Sorsogon",02/16/2022,"CONTRACTOR:
CENTERWAYS CONSTRUCTION AND DEVELOPMENT INC.","CONTRACT COST: 47,304,633.91","SORSOGON (12.020212 , 123.715683)",Region V,Construction of Flood Mitigation Structure,FY 2022
"Construction of River Control Project at Subaan River (Phase III), San Teodoro, Oriental Mindoro",ORIENTAL MINDORO,ROAD EDGE TRADING & DEVELOPMENT SERVICES,"96,490,896.94",11/18/2022,REPORT,"Construction of River Control Project at Subaan River (Phase III), San Teodoro, Oriental Mindoro",03/22/2022,"CONTRACTOR:
ROAD EDGE TRADING & DEVELOPMENT SERVICES","CONTRACT COST: 96,490,896.94","ORIENTAL MINDORO (13.080201 , 121.335657)",Region IV-B,Construction of Flood Mitigation Structure,FY 2022
"Construction of Creek Wall Protection, Malalim Na Sara Going to San Juan Creek at Brgy. Macamot And Brgy. Batingan, Binangonan, Rizal",RIZAL,GLJ CONSTRUCTION,"15,679,904.51",11/18/2022,REPORT,"Construction of Creek Wall Protection, Malalim Na Sara Going to San Juan Creek at Brgy. Macamot And Brgy. Batingan, Binangonan, Rizal",03/24/2022,"CONTRACTOR:
GLJ CONSTRUCTION","CONTRACT COST: 15,679,904.51","RIZAL (14.477330 , 121.196490)",Region IV-A,Construction of Flood Mitigation Structure,FY 2021
"Construction of Flood Control Structure at Angono River, Barangay San Isidro, Angono Rizal",RIZAL,A.J. LAVA BUILDERS CORP. (FORMERLY: A.J. LAVA BUIL,"37,231,649.95",11/18/2022,REPORT,"Construction of Flood Control Structure at Angono River, Barangay San Isidro, Angono Rizal",03/24/2022,"CONTRACTOR:
A.J. LAVA BUILDERS CORP. (FORMERLY: A.J. LAVA BUIL","CONTRACT COST: 37,231,649.95","RIZAL (14.531770 , 121.159510)",Region IV-A,Construction of Flood Mitigation Structure,FY 2021
"Construction of Revetment along Tabon Waterways, (Maahas side), Brgy. Maahas, Los Banos,Laguna",LAGUNA,BHENLLABIEN BUILDERS CORPORATION (FORMERLY: BHENLLABIEN BUILDERS CONSTRUCTION),"86,813,738.33",11/18/2022,REPORT,"Construction of Revetment along Tabon Waterways, (Maahas side), Brgy. Maahas, Los Banos,Laguna",04/04/2022,"CONTRACTOR:
BHENLLABIEN BUILDERS CORPORATION (FORMERLY: BHENLLABIEN BUILDERS CONSTRUCTION)","CONTRACT COST: 86,813,738.33","LAGUNA (14.179680 , 121.265250)",Region IV-A,Construction of Revetment,FY 2022
"Construction of Revetment along Imus River, Brgy. Mabolo I, Bacoor City, Cavite",CAVITE,GRAIA CONSTRUCTION CORPORATION,"57,895,300.07",11/18/2022,REPORT,"Construction of Revetment along Imus River, Brgy. Mabolo I, Bacoor City, Cavite",03/22/2022,"CONTRACTOR:
GRAIA CONSTRUCTION CORPORATION","CONTRACT COST: 57,895,300.07","CAVITE (14.453700 , 120.927770)",Region IV-A,Construction of Revetment,FY 2022
"Construction of Riverbank Protection along Palico River, Nasugbu, Batangas",BATANGAS,V.R. PATRON BUILDERS & DEVELOPERS CORP. (PREVIOUSL,"77,200,000.00",11/18/2022,REPORT,"Construction of Riverbank Protection along Palico River, Nasugbu, Batangas",02/23/2022,"CONTRACTOR:
V.R. PATRON BUILDERS & DEVELOPERS CORP. (PREVIOUSL","CONTRACT COST: 77,200,000.00","BATANGAS (14.045285 , 120.689476)",Region IV-A,Construction of Flood Mitigation Structure,FY 2022
"Construction of San Pedro River Control (along Cagayan River), San Pedro, Maddela, Downstream, Quirino",QUIRINO,"A.P.D. CONSTRUCTION, INC. (FORMERLY: APD CONSTRUCTION)","48,995,706.50",11/18/2022,REPORT,"Construction of San Pedro River Control (along Cagayan River), San Pedro, Maddela, Downstream, Quirino",04/01/2022,"CONTRACTOR:
A.P.D. CONSTRUCTION, INC. (FORMERLY: APD CONSTRUCTION)","CONTRACT COST: 48,995,706.50","QUIRINO (16.352021 , 121.697062)",Region II,Construction of Flood Mitigation Structure,FY 2022
"Improvement of Manamtam River Control along Matuno River, Manamtam Section, Sta. 0+360 - Sta. 0+510, Bambang, Nueva Vizcaya",NUEVA VIZCAYA,J.E.L. CONSTRUCTION & SUPPLY,"24,519,676.04",11/18/2022,REPORT,"Improvement of Manamtam River Control along Matuno River, Manamtam Section, Sta. 0+360 - Sta. 0+510, Bambang, Nueva Vizcaya",04/05/2022,"CONTRACTOR:
J.E.L. CONSTRUCTION & SUPPLY","CONTRACT COST: 24,519,676.04","NUEVA VIZCAYA (16.389788 , 121.059489)",Region II,Rehabilitation / Major Repair of Flood Control Structure,FY 2021
"Construction of Siffu River Flood Control Project (Qui-Bur Bridge Abutment ""B"" Downstream Section), Quirino, Isabela",ISABELA,DANYSONS CONSTRUCTION AND DEVELOPMENT CORPORATION (FORMERLY: DANYSONS CONSTRUCTION),"39,199,987.54",11/18/2022,REPORT,"Construction of Siffu River Flood Control Project (Qui-Bur Bridge Abutment ""B"" Downstream Section), Quirino, Isabela",02/28/2022,"CONTRACTOR:
DANYSONS CONSTRUCTION AND DEVELOPMENT CORPORATION (FORMERLY: DANYSONS CONSTRUCTION)","CONTRACT COST: 39,199,987.54","ISABELA (17.117008 , 121.708950)",Region II,Construction of Flood Mitigation Structure,FY 2022
"Construction of Automatic Trash Screen Rake including accessories and platform along Estero de Valencia, Manila City",CITY OF MANILA,EIGHT J'S CONSTRUCTION SERVICES,"72,374,100.88",11/18/2022,REPORT,"Construction of Automatic Trash Screen Rake including accessories and platform along Estero de Valencia, Manila City",04/01/2022,"CONTRACTOR:
EIGHT J'S CONSTRUCTION SERVICES","CONTRACT COST: 72,374,100.88","CITY OF MANILA (14.603226 , 121.002056)",National Capital Region,Construction of Flood Mitigation Structure,FY 2022
"Construction of Slope Protection Along Taguig River, Facing Downstream (West Bank), Package 5, Taguig City",TAGUIG CITY,ST. TIMOTHY CONSTRUCTION CORPORATION,"94,190,038.78",11/18/2022,REPORT,"Construction of Slope Protection Along Taguig River, Facing Downstream (West Bank), Package 5, Taguig City",03/24/2022,"CONTRACTOR:
ST. TIMOTHY CONSTRUCTION CORPORATION","CONTRACT COST: 94,190,038.78","TAGUIG CITY (14.526784 , 121.073137)",National Capital Region,Construction of Slope Protection Structure,FY 2022
"Construction of Slope Protection Along Taguig River, Facing Downstream (West Bank), Package 6, Taguig City",TAGUIG CITY,ALPHA & OMEGA GEN. CONTRACTOR & DEVELOPMENT CORP.,"96,500,000.00",11/18/2022,REPORT,"Construction of Slope Protection Along Taguig River, Facing Downstream (West Bank), Package 6, Taguig City",03/24/2022,"CONTRACTOR:
ALPHA & OMEGA GEN. CONTRACTOR & DEVELOPMENT CORP.","CONTRACT COST: 96,500,000.00","TAGUIG CITY (14.525534 , 121.073370)",National Capital Region,Construction of Slope Protection Structure,FY 2022
"Construction of Floodwall along Chungkang River (Phase 2), Navotas City",NAVOTAS CITY,ST. TIMOTHY CONSTRUCTION CORPORATION,"49,414,754.65",11/18/2022,REPORT,"Construction of Floodwall along Chungkang River (Phase 2), Navotas City",03/24/2022,"CONTRACTOR:
ST. TIMOTHY CONSTRUCTION CORPORATION","CONTRACT COST: 49,414,754.65","NAVOTAS CITY (14.686654 , 120.935097)",National Capital Region,Construction of Flood Mitigation Structure,FY 2022
"Construction of Drainage in Brgy. Panghulo, Malabon City",MALABON CITY,GECEL CONSTRUCTION,"9,900,000.00",11/18/2022,REPORT,"Construction of Drainage in Brgy. Panghulo, Malabon City",03/24/2022,"CONTRACTOR:
GECEL CONSTRUCTION","CONTRACT COST: 9,900,000.00","MALABON CITY (14.686681 , 120.951599)",National Capital Region,Construction of Drainage Structure,FY 2022
"Construction of Riverwall and Road Dike along Batasan River (Phase 20), Brgy. Dampalit, Malabon City",MALABON CITY,"A.L. SALAZAR CONSTRUCTION, INC.","57,900,000.00",11/18/2022,REPORT,"Construction of Riverwall and Road Dike along Batasan River (Phase 20), Brgy. Dampalit, Malabon City",03/24/2022,"CONTRACTOR:
A.L. SALAZAR CONSTRUCTION, INC.","CONTRACT COST: 57,900,000.00","MALABON CITY (14.701020 , 120.923643)",National Capital Region,Construction of Flood Mitigation Structure,FY 2022
"Construction of Riverwall and Road Dike along Batasan River (Phase 21), Brgy. Dampalit, Malabon City",MALABON CITY,"A.L. SALAZAR CONSTRUCTION, INC.","57,900,000.00",11/18/2022,REPORT,"Construction of Riverwall and Road Dike along Batasan River (Phase 21), Brgy. Dampalit, Malabon City",03/24/2022,"CONTRACTOR:
A.L. SALAZAR CONSTRUCTION, INC.","CONTRACT COST: 57,900,000.00","MALABON CITY (14.702068 , 120.925247)",National Capital Region,Construction of Flood Mitigation Structure,FY 2022
"Construction of Riverwall and Road Dike along Batasan River (Phase 22), Brgy. Dampalit, Malabon City",MALABON CITY,"A.L. SALAZAR CONSTRUCTION, INC. / ROTAFLEX CONSTRUCTION AND DEVELOPMENT CORP. (FORMERLY:ROTA FLEX CONSTRUCTION)","57,900,000.00",11/18/2022,REPORT,"Construction of Riverwall and Road Dike along Batasan River (Phase 22), Brgy. Dampalit, Malabon City",03/24/2022,"CONTRACTOR:
A.L. SALAZAR CONSTRUCTION, INC. / ROTAFLEX CONSTRUCTION AND DEVELOPMENT CORP. (FORMERLY:ROTA FLEX CONSTRUCTION)","CONTRACT COST: 57,900,000.00","MALABON CITY (14.701456 , 120.924529)",National Capital Region,Construction of Flood Mitigation Structure,FY 2022
"Construction of Bonon Flood Control Structure, Sta. 31+ 380 - Sta.31+460 (LS) along Talubin River, Bontoc, Mountain Province",MOUNTAIN PROVINCE,DHEN'Z CONSTRUCTION,"15,680,000.00",11/18/2022,REPORT,"Construction of Bonon Flood Control Structure, Sta. 31+ 380 - Sta.31+460 (LS) along Talubin River, Bontoc, Mountain Province",03/07/2022,"CONTRACTOR:
DHEN'Z CONSTRUCTION","CONTRACT COST: 15,680,000.00","MOUNTAIN PROVINCE (17.046990 , 121.008430)",Cordillera Administrative Region,Construction of Flood Mitigation Structure,FY 2022
"Construction of Wawang Flood Control Structure, Sta. 32 + 180 - Sta. 32 + 250 (L.S.), Sta. 32 + 184 - Sta. 32 + 264 (R.S.), Sta. 32 + 328 - Sta. 32 + 358 (L.S.), Sta. 32 + 335 - Sta. 32 + 375 (R.S.) along Talubin River, Bontoc, Mountain Province",MOUNTAIN PROVINCE,SADLAN CONSTRUCTION,"24,500,000.00",11/18/2022,REPORT,"Construction of Wawang Flood Control Structure, Sta. 32 + 180 - Sta. 32 + 250 (L.S.), Sta. 32 + 184 - Sta. 32 + 264 (R.S.), Sta. 32 + 328 - Sta. 32 + 358 (L.S.), Sta. 32 + 335 - Sta. 32 + 375 (R.S.) along Talubin River, Bontoc, Mountain Province",02/17/2022,"CONTRACTOR:
SADLAN CONSTRUCTION","CONTRACT COST: 24,500,000.00","MOUNTAIN PROVINCE (17.038610 , 121.010830)",Cordillera Administrative Region,Construction of Flood Mitigation Structure,FY 2022
"Construction of Flood Control Structure along Ambalideng River (Wanga Ricefield Area) at Poblacion, Kibungan, Benguet",BENGUET,M.P. TABERAO CONSTRUCTION SERVICES AND SUPPLIES,"29,400,000.00",11/18/2022,REPORT,"Construction of Flood Control Structure along Ambalideng River (Wanga Ricefield Area) at Poblacion, Kibungan, Benguet",04/17/2022,"CONTRACTOR:
M.P. TABERAO CONSTRUCTION SERVICES AND SUPPLIES","CONTRACT COST: 29,400,000.00","BENGUET (16.705479 , 120.668598)",Cordillera Administrative Region,Construction of Flood Mitigation Structure,FY 2022
"Construction of Patin-ay River Dike (Upstream), Sta. 0+000.00 - Sta. 0+500.00, Prosperidad, Agusan del Sur",AGUSAN DEL SUR,ABADA CONSTRUCTION AND SUPPLY,"11,759,986.07",11/17/2022,REPORT,"Construction of Patin-ay River Dike (Upstream), Sta. 0+000.00 - Sta. 0+500.00, Prosperidad, Agusan del Sur",03/18/2022,"CONTRACTOR:
ABADA CONSTRUCTION AND SUPPLY","CONTRACT COST: 11,759,986.07","AGUSAN DEL SUR (8.556237 , 125.945351)",Region XIII,Construction of Dike,FY 2022
"Construction of Concrete Revetment Lower Klinan-Mabuhay (Silway River Basin), Sta. 0+694 - Sta. 1+318, Brgy. Mabuhay, General Santos City",SOUTH COTABATO,LLABAN CONSTRUCTION & SUPPLY (FORMERLY: LLABAN CON / TAJ BUILDERS AND SUPPLY,"86,848,180.34",11/17/2022,REPORT,"Construction of Concrete Revetment Lower Klinan-Mabuhay (Silway River Basin), Sta. 0+694 - Sta. 1+318, Brgy. Mabuhay, General Santos City",03/29/2022,"CONTRACTOR:
LLABAN CONSTRUCTION & SUPPLY (FORMERLY: LLABAN CON / TAJ BUILDERS AND SUPPLY","CONTRACT COST: 86,848,180.34","SOUTH COTABATO (6.201185 , 125.133562)",Region XII,Construction of Revetment,FY 2022
"Construction of Revetment along Magallanes River (Magallanes Bridge Section), Matanao, Davao del Sur",DAVAO DEL SUR,TKS BUILDERS & SUPPLIES,"67,550,000.00",11/17/2022,REPORT,"Construction of Revetment along Magallanes River (Magallanes Bridge Section), Matanao, Davao del Sur",02/18/2022,"CONTRACTOR:
TKS BUILDERS & SUPPLIES","CONTRACT COST: 67,550,000.00","DAVAO DEL SUR (6.722530 , 125.220197)",Region XI,Construction of Revetment,FY 2022
"Construction of Drainage System at Purok 3 Centro, Barangay Langub, Davao City",DAVAO DEL SUR,SNAS CONSTRUCTION AND SUPPLIES,"6,736,112.96",11/17/2022,REPORT,"Construction of Drainage System at Purok 3 Centro, Barangay Langub, Davao City",06/07/2022,"CONTRACTOR:
SNAS CONSTRUCTION AND SUPPLIES","CONTRACT COST: 6,736,112.96","DAVAO DEL SUR (7.097771 , 125.564290)",Region XI,Construction of Drainage Structure,FY 2022
"Construction of Concrete Revetment along Tagum-Libuganon River Basin, Carmen Section, Davao del Norte",DAVAO DEL NORTE,GP & H CONSTRUCTION INCORPORATED (FORMERLY: GP & H CONSTRUCTION & SUPPLY),"49,000,000.00",11/17/2022,REPORT,"Construction of Concrete Revetment along Tagum-Libuganon River Basin, Carmen Section, Davao del Norte",02/11/2022,"CONTRACTOR:
GP & H CONSTRUCTION INCORPORATED (FORMERLY: GP & H CONSTRUCTION & SUPPLY)","CONTRACT COST: 49,000,000.00","DAVAO DEL NORTE (7.402742 , 125.755122)",Region XI,Construction of Revetment,FY 2022
"Construction of Macatol Flood Control, Merida, Leyte",LEYTE,RJIR ENTERPRISES CORPORATION,"29,698,999.03",11/17/2022,REPORT,"Construction of Macatol Flood Control, Merida, Leyte",03/23/2022,"CONTRACTOR:
RJIR ENTERPRISES CORPORATION","CONTRACT COST: 29,698,999.03","LEYTE (10.980292 , 124.532215)",Region VIII,Construction of Flood Mitigation Structure,FY 2022
"Construction of Flood Control System, J.M. Alberto River, Brgy. J.M. Alberto, Baras, Catanduanes",CATANDUANES,NQA CONSTRUCTION & SUPPLY,"44,098,760.00",11/17/2022,REPORT,"Construction of Flood Control System, J.M. Alberto River, Brgy. J.M. Alberto, Baras, Catanduanes",03/02/2022,"CONTRACTOR:
NQA CONSTRUCTION & SUPPLY","CONTRACT COST: 44,098,760.00","CATANDUANES (13.711764 , 124.382945)",Region V,Construction of Flood Mitigation Structure,FY 2022
"Construction of Flood Control Structure along Lagasit River, Brgy. Namagbagan, Sta. Maria, Pangasinan",PANGASINAN,R.A. MATIAS CONSTRUCTION AND DEVELOPERS INC. (FORMERLY : R.A. MATIAS CONSTRUCTION AND DEVELOPERS),"28,517,854.91",11/17/2022,REPORT,"Construction of Flood Control Structure along Lagasit River, Brgy. Namagbagan, Sta. Maria, Pangasinan",02/24/2022,"CONTRACTOR:
R.A. MATIAS CONSTRUCTION AND DEVELOPERS INC. (FORMERLY : R.A. MATIAS CONSTRUCTION AND DEVELOPERS)","CONTRACT COST: 28,517,854.91","PANGASINAN (15.939200 , 120.685560)",Region I,Construction of Revetment,FY 2022
"Installation of Automatic Trash Screen & Horizontal Conveyor & Accessories at Estero de Vitas, Barangay 151, Manila City",CITY OF MANILA,EIGHT J'S CONSTRUCTION SERVICES,"93,846,057.69",11/17/2022,REPORT,"Installation of Automatic Trash Screen & Horizontal Conveyor & Accessories at Estero de Vitas, Barangay 151, Manila City",04/01/2022,"CONTRACTOR:
EIGHT J'S CONSTRUCTION SERVICES","CONTRACT COST: 93,846,057.69","CITY OF MANILA (14.618102 , 120.970561)",National Capital Region,Construction of Flood Mitigation Facility,FY 2022
