Project Description,Location,Contractor,Cost,Completion Date,,Description,Start_Date,Contractor,Contract_Cost,Location,Region,Category,FY
"Construction of Flood Control Structure along Butuanon River (Downstream) Outfall, Barangay Pakna-an, Mandaue City, Cebu",CEBU,ON POINT CONSTRUCTION AND DEVELOPMENT CORPORATION (FORMERLY:ON POINT CONSTRUCTION),"72,325,000.00",04/28/2025,REPORT,"Construction of Flood Control Structure along Butuanon River (Downstream) Outfall, Barangay Pakna-an, Mandaue City, Cebu",02/21/2025,"CONTRACTOR:
ON POINT CONSTRUCTION AND DEVELOPMENT CORPORATION (FORMERLY:ON POINT CONSTRUCTION)","CONTRACT COST: 72,325,000.00","CEBU (10.343448 , 123.971079)",Region VII,Construction of Flood Mitigation Structure,FY 2025
"Construction of Ala RIS Protection Works, Sto. Niño, South Cotabato",SOUTH COTABATO,MFN BUILDERS,"14,689,979.39",04/25/2025,REPORT,"Construction of Ala RIS Protection Works, Sto. Niño, South Cotabato",02/28/2025,"CONTRACTOR:
MFN BUILDERS","CONTRACT COST: 14,689,979.39","SOUTH COTABATO (6.436886 , 124.636327)",Region XII,Construction of Flood Mitigation Structure,FY 2025
"Construction of Concrete Revetment along Silway River, Barangay Apopong, General Santos City",SOUTH COTABATO,J.G. ORANZA CONSTRUCTION,"96,400,433.63",04/25/2025,REPORT,"Construction of Concrete Revetment along Silway River, Barangay Apopong, General Santos City",07/22/2024,"CONTRACTOR:
J.G. ORANZA CONSTRUCTION","CONTRACT COST: 96,400,433.63","SOUTH COTABATO (6.130522 , 125.151076)",Region XII,Construction of Revetment,FY 2024
"Construction of Alua Slope Protection Structure along Pampanga River, Barangay Alua, Phase 2, San Isidro, Nueva Ecija",NUEVA ECIJA,"R.A. PAHATI CONST. & SUPPLY, INC.","48,754,753.43",04/25/2025,REPORT,"Construction of Alua Slope Protection Structure along Pampanga River, Barangay Alua, Phase 2, San Isidro, Nueva Ecija",02/11/2025,"CONTRACTOR:
R.A. PAHATI CONST. & SUPPLY, INC.","CONTRACT COST: 48,754,753.43","NUEVA ECIJA (15.311522 , 120.894051)",Region III,Construction of Flood Mitigation Structure,FY 2025
"Rehabilitation of River Bank Structure along Pampanga River, Barangay San Pablo, Jaen, Nueva Ecija",NUEVA ECIJA,NUEDA BUILDERS CONSTRUCTION & SUPPLY INC.,"96,013,671.84",04/24/2025,REPORT,"Rehabilitation of River Bank Structure along Pampanga River, Barangay San Pablo, Jaen, Nueva Ecija",02/20/2025,"CONTRACTOR:
NUEDA BUILDERS CONSTRUCTION & SUPPLY INC.","CONTRACT COST: 96,013,671.84","NUEVA ECIJA (15.382000 , 120.921000)",Region III,Rehabilitation / Major Repair of Flood Control Structure,FY 2025
"Construction of Flood Mitigation Structure along Peñaranda River, Barangay Malapit, San Isidro, Nueva Ecija",NUEVA ECIJA,F-DEY CONSTRUCTION AND TRADING,"96,017,500.53",04/24/2025,REPORT,"Construction of Flood Mitigation Structure along Peñaranda River, Barangay Malapit, San Isidro, Nueva Ecija",02/20/2025,"CONTRACTOR:
F-DEY CONSTRUCTION AND TRADING","CONTRACT COST: 96,017,500.53","NUEVA ECIJA (15.309594 , 120.925073)",Region III,Construction of Flood Mitigation Structure,FY 2025
"Construction of Drainage Structure, Barangay Victoria, Tago, Surigao del Sur",SURIGAO DEL SUR,CRJ CONST AND DEVELOPMENT INC,"4,934,983.08",04/23/2025,REPORT,"Construction of Drainage Structure, Barangay Victoria, Tago, Surigao del Sur",02/19/2025,"CONTRACTOR:
CRJ CONST AND DEVELOPMENT INC","CONTRACT COST: 4,934,983.08","SURIGAO DEL SUR (9.035000 , 126.210280)",Region XIII,Construction of Drainage Structure,FY 2025
"Construction of Flood Control Structure, Amio River (Downstream), Package 1, Santa Catalina, Negros Oriental",NEGROS ORIENTAL,MIGHTY HOK SUMMIT CONSTRUCTION & DEVELOPMENT CORP.,"48,852,510.00",04/22/2025,REPORT,"Construction of Flood Control Structure, Amio River (Downstream), Package 1, Santa Catalina, Negros Oriental",02/19/2025,"CONTRACTOR:
MIGHTY HOK SUMMIT CONSTRUCTION & DEVELOPMENT CORP.","CONTRACT COST: 48,852,510.00","NEGROS ORIENTAL (9.421111 , 122.942778)",Negros Island Region,Construction of Flood Mitigation Structure,FY 2025
"Construction of Flood Mitigation Structure along Estero de Sunog Apog, Barangay 172, Manila City",CITY OF MANILA,XIEH CONSTRUCTION,"14,552,258.16",04/21/2025,REPORT,"Construction of Flood Mitigation Structure along Estero de Sunog Apog, Barangay 172, Manila City",02/11/2025,"CONTRACTOR:
XIEH CONSTRUCTION","CONTRACT COST: 14,552,258.16","CITY OF MANILA (14.626400 , 120.966380)",National Capital Region,Construction of Flood Mitigation Structure,FY 2025
"Construction of Flood Control Structure Along Tawiran River, Sta. Cruz, Marinduque",DAVAO DEL SUR,"SUNWEST, INC. (FORMERLY: SUNWEST CONSTRUCTION & DEVELOPMENT CORPORATION)","96,495,228.29",04/20/2025,REPORT,"Construction of Flood Control Structure Along Tawiran River, Sta. Cruz, Marinduque",02/19/2024,"CONTRACTOR:
SUNWEST, INC. (FORMERLY: SUNWEST CONSTRUCTION & DEVELOPMENT CORPORATION)","CONTRACT COST: 96,495,228.29","DAVAO DEL SUR (13.454758 , 122.067727)",Region IV-B,Construction of Flood Mitigation Structure,FY 2024
